time_stamp,product_name,units_sold,retail_price
2018-10-10 23:46:33.671277,Fantasy Ika Casual Short Sleeve Solid Women's Top,67,950.0
2018-10-09 16:22:04.871277,Fantasy Ika Casual 3/4 Sleeve Self Design Women's Top,97,849.0
2018-10-07 12:18:14.471277,Ausy Casual Short Sleeve Floral Print Women's Top,18,999.0
2018-10-08 07:12:00.071277,Ausy Casual Short Sleeve Printed Women's Top,95,999.0
2018-10-06 15:16:19.271277,Karatcraft Triniya Promise Gold Diamond 18 K Ring,9,47822.0
2018-10-10 14:00:28.871277,WearYourShine by PCJ The Joe Gold Diamond 18 K Ring,59,29366.0
2018-10-09 12:55:12.071277,Shilpkala Casual Short Sleeve Printed Women's Top,94,999.0
2018-10-09 16:46:04.871277,Shilpkala Casual Sleeveless Solid Women's Top,12,699.0
2018-10-08 23:52:19.271277,Shilpkala Casual Cape Sleeve Printed Women's Top,67,799.0
2018-10-07 18:00:00.071277,Shilpkala Casual Bell Sleeve Printed Women's Top,83,799.0
2018-10-06 11:45:36.071277,Shilpkala Casual Sleeveless Printed Women's Top,6,999.0
2018-10-08 10:35:31.271277,Shilpkala Casual Sleeveless Embellished Women's Top,78,899.0
2018-10-09 21:40:19.271277,Shilpkala Casual Short Sleeve Printed Women's Top,94,999.0
2018-10-10 00:46:04.871277,Shilpkala Casual Sleeveless Printed Women's Top,93,699.0
2018-10-11 23:36:00.071277,Shilpkala Casual Sleeveless Printed Women's Top,2,999.0
2018-10-10 07:07:12.071277,Shilpkala Casual Sleeveless Printed Women's Top,54,999.0
2018-10-06 19:25:55.271277,Shilpkala Casual Bell Sleeve Printed Women's Top,12,799.0
2018-10-07 14:26:24.071277,Shilpkala Casual Sleeveless Printed Women's Top,63,699.0
2018-10-07 16:12:57.671277,Shilpkala Casual Sleeveless Printed Women's Top,40,599.0
2018-10-12 11:26:24.071277,Shilpkala Casual Sleeveless Self Design Women's Top,87,599.0
2018-10-12 10:13:26.471277,BlueStone The Juliette Yellow Gold Diamond 18 K Ring,59,29348.0
2018-10-12 14:44:09.671277,Karatcraft Om Gold Diamond 18 K Ring,22,42068.0
2018-10-08 10:57:36.071277,Karatcraft Dulce Gold Diamond 18 K Ring,41,40267.0
2018-10-07 17:33:07.271277,Soie Casual| Festive| Formal| Lounge Wear| Party Sleeveless Embellished| Solid Women's Top,21,1390.0
2018-10-12 08:21:36.071277,Aaliya Casual Sleeveless Embellished Women's Top,98,2000.0
2018-10-06 13:59:02.471277,Karatcraft Robini Emerald Gold Diamond 18 K Ring,73,43481.0
2018-10-10 12:39:50.471277,@499 Casual| Festive| Formal| Lounge Wear| Party Sleeveless Embellished Women's Top,34,698.0
2018-10-07 02:35:02.471277,Karatcraft Om Gold Diamond 18 K Ring,76,44247.0
2018-10-11 12:13:26.471277,Lee Mark Men's Solid Formal Shirt,95,1699.0
2018-10-06 14:39:21.671277,Kairaa Lounge Wear Sleeveless Embellished Women's Top,46,710.0
2018-10-07 12:12:28.871277,Soie Casual Sleeveless Solid Women's Top,71,1089.0
2018-10-12 04:32:38.471277,Hichkii Casual Cape Sleeve Embroidered Women's Top,55,799.0
2018-10-10 15:39:21.671277,Soie Casual| Festive| Formal| Lounge Wear| Party Sleeveless Solid Women's Top,48,1419.0
2018-10-11 11:01:55.271277,Clara Certified Katela 8.3 cts or 9.25 ratti Zoya Sterling Silver Amethyst Ring,23,6160.0
2018-10-07 04:41:16.871277,Clara Certified Katela 6.5 cts or 7.25 ratti Elegant Sterling Silver Amethyst Ring,97,5270.0
2018-10-11 04:03:21.671277,Clara Certified Katela 3.9 cts or 4.25 ratti Stunning Sterling Silver Amethyst Ring,82,4210.0
2018-10-11 02:33:07.271277,SPECIES Striped Round Neck Women's Sweater,7,1699.0
