id,winery,variety,province,country,points,price
0,Heitz,Cabernet Sauvignon,California,US,96,235.0
1,Bodega Carmen Rodríguez,Tinta de Toro,Northern Spain,Spain,96,110.0
2,Macauley,Sauvignon Blanc,California,US,96,90.0
3,Ponzi,Pinot Noir,Oregon,US,96,65.0
4,Domaine de la Bégude,Provence red blend,Provence,France,95,66.0
5,Numanthia,Tinta de Toro,Northern Spain,Spain,95,73.0
6,Maurodos,Tinta de Toro,Northern Spain,Spain,95,65.0
7,Bodega Carmen Rodríguez,Tinta de Toro,Northern Spain,Spain,95,110.0
8,Bergström,Pinot Noir,Oregon,US,95,65.0
9,Blue Farm,Pinot Noir,California,US,95,60.0
10,Borgo del Tiglio,Friulano,Northeastern Italy,Italy,95,80.0
11,Patricia Green Cellars,Pinot Noir,Oregon,US,95,48.0
12,Patricia Green Cellars,Pinot Noir,Oregon,US,95,48.0
13,Vignobles Brumont,Tannat,Southwest France,France,95,90.0
14,Domaine Serene,Pinot Noir,Oregon,US,95,185.0
15,Bergström,Chardonnay,Oregon,US,95,90.0
16,Hall,Cabernet Sauvignon,California,US,95,325.0
17,Valduero,Tempranillo,Northern Spain,Spain,95,80.0
18,Château Lagrézette,Malbec,Southwest France,France,95,290.0
19,Gary Farrell,Pinot Noir,California,US,95,75.0
20,Heitz,Rosé,California,US,95,24.0
21,Muga,Tempranillo Blend,Northern Spain,Spain,95,79.0
22,Numanthia,Tinta de Toro,Northern Spain,Spain,95,220.0
23,Center of Effort,Chardonnay,California,US,95,60.0
24,Comartin,Pinot Noir,California,US,95,45.0
25,Kumeu River,Chardonnay,Kumeu,New Zealand,94,57.0
26,Bergström,Pinot Noir,Oregon,US,94,62.0
27,Ponzi,Pinot Noir,Oregon,US,94,105.0
28,Roar,Pinot Noir,California,US,94,60.0
29,Saviah,Syrah,Washington,US,94,60.0
30,Villa Melnik,Mavrud,Bulgaria,Bulgaria,90,15.0
31,Zepaltas,Chardonnay,California,US,90,37.0
32,Abbadia Ardenga,Sangiovese,Tuscany,Italy,90,
33,Bouvet-Ladubay,Sparkling Blend,France Other,France,90,22.0
34,Buty,Chardonnay,Washington,US,90,42.0
35,Carillon,Sangiovese,Tuscany,Italy,90,135.0
36,Clos de L'Oratoire des Papes,Rhône-style White Blend,Rhône Valley,France,90,60.0
37,Avignonesi,Sangiovese,Tuscany,Italy,90,29.0
38,Casina di Cornia,Sangiovese,Tuscany,Italy,90,23.0
39,Castello di Monterinaldi,Red Blend,Tuscany,Italy,90,29.0
40,Don Bernardino,Mencía,Galicia,Spain,90,17.0
41,González Byass,Palomino,Andalucia,Spain,90,26.0
42,Huston,Petite Sirah,Idaho,US,90,55.0
43,Rignana,Red Blend,Tuscany,Italy,90,39.0
44,Tardieu-Laurent,Syrah,Rhône Valley,France,90,69.0
45,Vignavecchia,Red Blend,Tuscany,Italy,90,30.0
46,Banfi,Sangiovese,Tuscany,Italy,90,90.0
47,Brandlin,Cabernet Sauvignon,California,US,90,60.0
48,Brunelli Martoccia,Sangiovese,Tuscany,Italy,90,50.0
49,Canvasback,Cabernet Sauvignon,Washington,US,90,40.0
50,Capanne Ricci,Sangiovese,Tuscany,Italy,90,100.0
51,Chartron et Trébuchet,Chardonnay,Burgundy,France,90,68.0
52,Cherrier Frères,Sauvignon Blanc,Loire Valley,France,90,42.0
53,Clement et Florian Berthier,Pinot Noir,Loire Valley,France,90,28.0
54,De Loach,Chardonnay,California,US,90,18.0
55,DeLille,Cabernet Sauvignon,Washington,US,90,69.0
56,Domaine Vacheron,Sauvignon Blanc,Loire Valley,France,90,
57,Dr. Konstantin Frank,Riesling,New York,US,90,25.0
58,Efeste,Cabernet Sauvignon-Syrah,Washington,US,90,30.0
59,Fattoria di Magliano,Red Blend,Tuscany,Italy,90,60.0
60,Matias Riccitelli,Malbec,Mendoza Province,Argentina,91,30.0
61,Moorooduc,Pinot Noir,Victoria,Australia,91,36.0
62,Navarro Correas,Malbec,Mendoza Province,Argentina,91,25.0
63,Domaine Chenevières,Chardonnay,Burgundy,France,91,45.0
64,Herdade do Rocim,Portuguese Red,Alentejano,Portugal,91,23.0
65,Jason-Stephens,Syrah,California,US,91,36.0
66,Louis Max,Chardonnay,Burgundy,France,91,38.0
67,Michael Mondavi Family Estate,Cabernet Sauvignon,California,US,91,85.0
68,Panther Creek,Pinot Noir,Oregon,US,91,50.0
69,Provenance Vineyards,Cabernet Sauvignon,California,US,91,60.0
70,Raymond,Cabernet Sauvignon,California,US,91,85.0
71,Red Car,Pinot Noir,California,US,91,45.0
72,Silvano Bolmida,Nebbiolo,Piedmont,Italy,91,
73,Trinity Vineyards,Pinot Gris,Oregon,US,91,19.0
74,Adega Cooperativa de Borba,Portuguese Red,Alentejo,Portugal,91,15.0
75,Archery Summit,Pinot Noir,Oregon,US,91,54.0
76,Aubry,Chardonnay,Champagne,France,91,85.0
77,B Cellars,Sauvignon Blanc,California,US,91,38.0
78,B Side,Cabernet Sauvignon,California,US,91,28.0
79,Bel Colle,Nebbiolo,Piedmont,Italy,91,75.0
80,Bethel Heights,Pinot Noir,Oregon,US,91,42.0
81,Binyamina,Cabernet Sauvignon,Upper Galilee,Israel,91,25.0
82,Ceste,Nebbiolo,Piedmont,Italy,91,
83,Cascina Cucco,Nebbiolo,Piedmont,Italy,91,59.0
84,Cascina del Monastero,Nebbiolo,Piedmont,Italy,91,85.0
85,Cordero di Montezemolo,Nebbiolo,Piedmont,Italy,91,80.0
86,Domaine Gérard Duplessis,Chardonnay,Burgundy,France,91,45.0
87,Eagle Glen,Cabernet Sauvignon,California,US,91,22.0
88,Eleven Eleven,Pinot Noir,California,US,91,65.0
89,Franciscan,Meritage,California,US,91,50.0
90,Belle Ambiance,Cabernet Sauvignon,California,US,86,10.0
91,Adega de Cantanhede,Baga,Beira Atlantico,Portugal,86,12.0
92,De Stefani,Glera,Veneto,Italy,86,22.0
93,Parducci,Chardonnay,California,US,86,13.0
94,Quinta do Portal,Portuguese Red,Douro,Portugal,86,10.0
95,Rigal,Malbec-Merlot,Southwest France,France,86,14.0
96,The Naked Grape,Chardonnay,California,US,86,18.0
97,Tin Barn,Cabernet Sauvignon,California,US,86,36.0
98,Georges Vigouroux,Merlot-Malbec,Southwest France,France,86,15.0
99,Georges Vigouroux,Ugni Blanc-Colombard,Southwest France,France,86,10.0
100,Hawk Watch Winery,Viognier,California,US,86,24.0
101,Hestan,Cabernet Sauvignon,California,US,86,50.0
102,Il Grappolo,Sangiovese,Tuscany,Italy,86,45.0
103,Ehret,Cabernet Sauvignon-Cabernet Franc,California,US,86,48.0
104,EOS,Moscato,California,US,86,20.0
105,Martinez & Martinez,Pinot Grigio,Washington,US,86,17.0
106,Ironstone,Cabernet Franc,California,US,86,12.0
107,Leaping Horse,Chardonnay,California,US,86,10.0
108,Kitchen Sink,White Blend,California,US,86,13.0
109,Kuleto Estate,Chardonnay,California,US,86,45.0
110,Wines & Winemakers,Portuguese Red,Tejo,Portugal,86,12.0
111,Zorzal,Rosé,Mendoza Province,Argentina,86,12.0
112,Charles Krug,Cabernet Sauvignon,California,US,86,125.0
113,Millbrook,Riesling,New York,US,86,25.0
114,Waterkloof,Sauvignon Blanc,Stellenbosch,South Africa,86,20.0
115,Viñalba,Malbec,Mendoza Province,Argentina,86,15.0
116,Casa de la Ermita,Monastrell,Levante,Spain,86,
117,Château Clément Termes,Rosé,Southwest France,France,86,20.0
118,Château Coutinel,Gamay,Southwest France,France,86,15.0
119,Adega Cooperativa de Borba,Portuguese Red,Alentejano,Portugal,86,7.0
120,MacPhail,Pinot Noir,California,US,91,59.0
121,Foursight,Pinot Noir,California,US,91,49.0
122,Goat Bubbles,Sparkling Blend,California,US,91,42.0
